sentence_id,real_sentence_en,real_sentence_ar,pseudo_sentence_ar_from_all_eyal_words
338,That's the legal term for harm or damage.,هذا هو المصطلح القانوني للضرر أو الأذى.,قانوني شرط إصابة ضرر
339,"Well, what's your injury?","حسناً، ما هو ضررك؟",إصابة
340,There's no way to acquire or hold some money which the copyright would give.,لا توجد طريقة لاكتساب أو الاحتفاظ بمال تمنحه حقوق النشر.,طريق شراء يمسك مال حقوق الطبع والنشر يعطي
341,There's no losses to reputation.,لا يوجد ضرر للسمعة.,خسائر سمعة
342,There's no even allegation that the copyright could have benefited somehow Naruto.,لا يوجد حتى ادعاء بأن حقوق النشر كانت ستعود بالنفع على ناروتو بأي شكل.,اتهام حقوق الطبع والنشر استمتعت
343,What financial benefits apply to him?,ما المنافع المالية التي تنطبق عليه؟,مالي فوائد إخلاء
344,There's nothing.,لا شيء.,
345,"But, Your Honor, the redressability issue doesn't necessarily turn on the compensation.","لكن سيادة القاضي، مسألة قابلية الانتصاف لا تتوقف بالضرورة على التعويض.",احترام اهتمام دور تعويض
346,It could be.,يمكن أن يكون.,
347,"Well, I wanna know what then is the injury.","حسناً، أريد معرفة ما هو الضرر إذن.",يريد يعرف إصابة
348,There's no case that says copyright infringement itself is injury.,لا توجد قضية تقول إن انتهاك حقوق النشر في حد ذاته يُعدّ ضرراً.,قضية يقول انتهاك حقوق النشر إصابة
349,So what injury do we have?,إذن ما الضرر الذي لدينا؟,إصابة
350,"Whatever the legal merits of this case are, there's just something really enjoyable about hearing lawyers throw around terms like redressability and compensation and injury when they're talking about a monkey.","مهما كانت مزايا هذه القضية القانونية، هناك شيء ممتع حقاً في سماع المحامين يتداولون مصطلحات كقابلية الانتصاف والتعويض والضرر وهم يتحدثون عن قرد.",قانوني المزايا قضية ممتع السمع المحامون يرمي شروط قابلية الإصلاح تعويض إصابة يتصل قرد
351,"I mean, if you give me a case that says copyright infringement itself is injury, I'll believe you.","أعني، إذا أعطيتني قضية تقول إن انتهاك حقوق النشر في حد ذاته يُعدّ ضرراً، سأصدقك.",متوسط يعطي قضية يقول انتهاك حقوق النشر إصابة يعتقد
352,But I don't think you've given me one.,لكنني لا أعتقد أنك أعطيتني واحدة.,لا تفكر. منح
353,What's your injury?,ما هو ضررك؟,إصابة
354,"The judges and Schwarz volley over case law and legal precedent and the definition of author for 20 minutes before handing the floor to David's lawyer, Andrew Dhuey.",تبادل القضاة وشوارتز الحجج حول السوابق القضائية والمصطلح القانوني وتعريف المؤلف لعشرين دقيقة قبل إعطاء الكلمة لمحامي ديفيد أندرو دوي.,القضاة قضية قانون قانوني سابقة تعريف مؤلف بروتوكول توصيل منصة محامي
355,"And after two years of research and legal filings and oral arguments, Dhuey finally gets his wish to make a monkey joke in court.","وبعد سنتين من البحث والإيداعات القانونية والمرافعات الشفهية، يتحقق أخيراً لدوي أمنيته في إلقاء نكتة عن القردة في المحكمة.",سنين بحث قانوني برادة شفوي الحجج طلب يفعل محكمة
356,"Monkey see, monkey sue will not do in federal court.","قرد يرى، قرد يقاضي، لن ينجح ذلك في المحكمة الفيدرالية.",قرد يرى قرد مقاضاة المحكمة الفيدرالية
357,"After that, his oral arguments can pretty much be summed up as, you should throw this case out.","بعد ذلك، يمكن تلخيص مرافعاته الشفهية في: يجب عليكم رفض هذه القضية.",شفوي الحجج كثير ملخص يرمي قضية
358,And can you please make PETA pay my legal fees?,وهل يمكنكم إلزام بيتا بدفع أتعابي القانونية؟,يفعل يدفع قانوني مصاريف مناقشة
359,"Once Dhuey is done, Angela Dunning gets up.","بمجرد انتهاء دوي، تقف أنجيلا دنينج.",منتهي أعطِ
360,She's the codefendant's attorney.,إنها محامية المدعى عليه المشارك.,المتهم محامي
361,PETA also sued the self publishing book company that David had used.,قاضت بيتا أيضاً شركة النشر الذاتي التي استخدمها ديفيد.,سو النشر الذاتي شركة مستخدم
362,"So Angela Dunning gets up to deliver her defense, which is also pretty straightforward.",لذا تقف أنجيلا دنينج لتقديم دفاعها وهو أيضاً بسيط جداً.,يعطي حماية
363,Naruto can't benefit financially from his work.,لا يمكن لناروتو الاستفادة مالياً من عمله.,يتمتع عمل
364,He's a monkey.,إنه قرد.,قرد
365,David Slater wasn't in court in San Francisco that day.,لم يكن ديفيد سلاتر في المحكمة في سان فرانسيسكو ذلك اليوم.,محكمة سان فرانسيسكو يوم
366,He didn't wanna spend the money to travel all the way to California from Wales.,لم يرد إنفاق المال للسفر من ويلز إلى كاليفورنيا.,يريد ينفق مال يسافر طريق كاليفورنيا ويلز
367,But he watched the whole hearing online.,لكنه شاهد الجلسة كاملة عبر الإنترنت.,منظر الجميع السمع
368,When I watched itand you see three judges there.,حين شاهدتها وترى ثلاثة قضاة هناك.,منظر يرى القضاة
369,"And then one attorney comes up, and then my attorney comes up, Andrew and then Angela, and they started talking about monkeys.","ثم يأتي محامٍ واحد، ثم محاميّ أندرو ثم أنجيلا، وبدأوا يتحدثون عن القردة.",محامي آت محامي آت بدأ يتحدث القرود
370,It made it real all of a sudden.,جعل الأمر حقيقياً فجأة.,عكس حقيقي فجأة
371,"That, yes, he was being sued by a monkey.","أنه نعم، كان يُقاضَى من قِبَل قرد.",المدعى عليه قرد
372,Naruto didn't make it to the hearing either.,لم يحضر ناروتو الجلسة أيضاً.,يفعل السمع
373,He stayed in the rainforest in Indonesia.,بقي في الغابة المطيرة في إندونيسيا.,متبقي الغابات المطيرة أندونيسيا
374,"And to my knowledge, nobody asked him what he thought of all this.","وفي حدود علمي، لم يسأله أحد عن رأيه في كل هذا.",أخبار بسأل محاسب
375,"After two years, the humans managed to figure things out on their own.","بعد سنتين، تمكن البشر من حل الأمور بمفردهم.",سنين الجنس البشري إدارة شخصية أشياء أنفسهم
376,They told the appellate court they didn't want it to rule in the case after all.,أخبروا محكمة الاستئناف أنهم لا يريدون في نهاية المطاف أن تُصدر حكماً في القضية.,قالوا محكمة الاستئناف لم أرغب قاعدة قضية
377,"And in September, David and PETA announced they'd reached a settlement.","وفي سبتمبر، أعلن ديفيد وبيتا التوصل إلى تسوية.",سبتمبر تم الإعلان وصل ترتيب
378,The details of the settlement are confidential.,تفاصيل التسوية سرية.,تفاصيل ترتيب سر
379,So I can't tell you much about it.,لذا لا أستطيع إخبارك بالكثير عنها.,يخبر كثير هنا
380,But here's what I do know.,لكن هذا ما أعرفه.,معرفة
381,David Slater still has the monkey selfie copyright registered in his name in two countries.,لا يزال ديفيد سلاتر يمتلك حق نشر سيلفي القرد مسجلاً باسمه في بلدين.,قرد صورة سيلفي حقوق الطبع والنشر مسجل اسم بلدان
382,And he agreed to donate 25 percent of the proceeds of the photos to protect the crested macaques.,ووافق على التبرع بـ25 بالمئة من عائدات الصور لحماية مكاك العرف.,متفق يساهم شهادة ربح صور يحمي قرود المكاك
383,"About Wikipedia, they've still got the monkey selfie up there for anyone to download.","أما ويكيبيديا، فلا تزال لديها سيلفي القرد متاحة للتنزيل للجميع.",ويكيبيديا قرد صورة سيلفي تحميل
384,They still claim it's in the public domain.,لا تزال تدّعي أنها في الملك العام.,مطالبة الملكية العامة
385,"David will have to sue them to get it taken down, which he says he plans to do.","سيضطر ديفيد لمقاضاتهم لإزالتها، وهو يقول إنه يخطط للقيام بذلك.",مقاضاة مأخوذ يقول البرامج
386,There's just one other thing that should be mentioned about Naruto.,هناك شيء آخر واحد فقط ينبغي ذكره عن ناروتو.,آخر شيء مذكور
387,There were a bunch of monkeys around when the selfies were being taken that day.,كان هناك مجموعة من القردة في المنطقة حين كانت صور السيلفي تُلتقط ذلك اليوم.,مجموعة القرود صورة سيلفي تم التقاط الصورة يوم
388,And PETA consulted with the primatologist who works with those crested black macaques.,وتشاورت بيتا مع عالم الرئيسيات الذي يعمل مع تلك المكاك السوداء المُعرَّفة.,تمت استشارته عالم الرئيسيات عمل أسود قرود المكاك
389,She's the one who identified Naruto as the monkey in the famous selfie.,إنها من حدّدت ناروتو كالقرد في السيلفي الشهيرة.,معترف به قرد مشهور صورة سيلفي
390,But David says that's not right.,لكن ديفيد يقول إن ذلك ليس صحيحاً.,يقول
391,Naruto is a male.,ناروتو ذكر.,ذكر ذكر
392,I distinctly remember it being a female.,أتذكر بوضوح أنها كانت أنثى.,يتذكر أنثى
393,I distinctly remember that pink rump which the female macaques have.,أتذكر بوضوح تلك الأردية الوردية التي تملكها إناث المكاك.,يتذكر لون القرنفل مؤخرة أنثى قرود المكاك
394,Basically what you're saying is is that Naruto is making a fraudulent claim himself.,ما تقوله في الأساس هو أن ناروتو يقدم ادعاءً احتيالياً بنفسه.,الحد الأقصى تحضير كذب مطالبة
395,Yes.,نعم.,
396,It's the wrong monkey in court.,إنه القرد الخطأ في المحكمة.,خطأ قرد محكمة
397,He's taking credit for an artistic work that was actually made by a female monkey.,إنه يأخذ الفضل على عمل فني صنعته في الواقع أنثى قرد.,أخذ فني عمل صنع أنثى قرد
398,Yeah.,نعم.,
399,And I think the feminists amongst us should start to protest.,وأعتقد أن النسويين بيننا يجب أن يبدأوا في الاحتجاج.,يفكر النسويات يبدأ يعترض
400,I'm sure she's not the first lady monkey to have this kind of experience.,أنا متأكد أنها ليست أول قردة أنثى تمر بهذا النوع من التجربة.,تأمين سيدتي قرد خبرة
401,It's in the nature of both humans and monkeys to horse around in front of cameras.,من طبيعة البشر والقردة على حد سواء التصرف بعبث أمام الكاميرات.,طبيعة الجنس البشري القرود تحامق عكس الكاميرات
402,"But it's a uniquely human characteristic to spend hundreds of thousands of dollars, years of our lives, to go to court over it.",لكن من السمات الإنسانية الفريدة إنفاق مئات الآلاف من الدولارات وسنوات من حياتنا للتقاضي بسببها.,بشر كعكة المافن يضيع المئات الآلاف دولارات سنين حياة يذهب محكمة
