sentence_id,real_sentence_en,real_sentence_he,pseudo_sentence_he_from_all_eyal_words
345,"But, Your Honor, the redressability issue doesn't necessarily turn on the compensation.","אבל, כבוד השופט, סוגיית התיקון לא בהכרח מפעילה את הפיצוי.",כבוד עניין פנה פיצוי
346,It could be.,זה יכול להיות.,
347,"Well, I want to know what then is the injury.","ובכן, אני רוצה לדעת מהי הפציעה.",רוצה לדעת פציעה
348,There's no case that says copyright infringement itself is injury.,אין מקרה שאומר שהפרת זכויות יוצרים עצמה היא פגיעה.,מקרה אומר הפרת זכויות יוצרים פציעה
349,So what injury do we have?,אז איזו פציעה יש לנו?,פציעה
350,"Whatever the legal merits of this case are, there's just something really enjoyable about hearing lawyers throw around terms like redressability and compensation and injury when they're talking about a monkey.","לא משנה מה היתרונות המשפטיים של התיק הזה, יש משהו ממש מהנה בלשמוע עורכי דין זורקים מונחים כמו יכולת תיקון ופיצוי ופציעה כשהם מדברים על קוף.",משפטי יתרונות מקרה מהנה שמיעה עורכי דין לזרוק מונחים יכולת תיקון פיצוי פציעה שיחה קוף
351,"I mean, if you give me a case that says copyright infringement itself is injury, I'll believe you.","כלומר, אם תביא לי מקרה שאומר שהפרת זכויות יוצרים כשלעצמה היא פגיעה, אני אאמין לך.",ממוצע לתת מקרה אומר הפרת זכויות יוצרים פציעה להאמין
352,But I don't think you've given me one.,אבל אני לא חושב שנתת לי אחד.,אל תחשוב נתון
353,What's your injury?,מה הפציעה שלך?,פציעה
354,"The judges and Schwarz volley over case law and legal precedent and the definition of author for 20 minutes before handing the floor to David's lawyer, Andrew Dhuey.","השופטים ושוורץ מטפחים על פסיקה ותקדים משפטי ועל הגדרת המחבר במשך 20 דקות לפני שהם מוסרים את הדיבור לעורך דינו של דיוויד, אנדרו דווי.",שופטים מקרה חוק משפטי תקדים הגדרה מחבר פרוטוקול מסירה במה עורך דין
355,"And after two years of research and legal filings and oral arguments, Dhuey finally gets his wish to make a monkey joke in court.","ואחרי שנתיים של מחקר והגשות משפטיות וטיעונים בעל פה, דואי סוף סוף מקבל את רצונו לעשות בדיחה של קוף בבית המשפט.",שנים מחקר משפטי נשורת שבעל פה טיעונים בקשה לעשות בית משפט
356,"Monkey see, monkey sue will not do in federal court.","קוף רואה, תביעת קוף לא תתאים בבית משפט פדרלי.",קוף לראות קוף לתבוע בית משפט פדרלי
357,"After that, his oral arguments can pretty much be summed up as, you should throw this case out.","לאחר מכן, ניתן לסכם את הטיעונים בעל פה בערך כך שכדאי לזרוק את התיק הזה.",שבעל פה טיעונים הרבה לסכם לזרוק מקרה
358,And can you please make PETA pay my legal fees?,והאם אתה יכול בבקשה לגרום ל-PETA לשלם את הוצאות המשפט שלי?,לעשות לשלם משפטי עמלות נדון
359,"Once Dhuey is done, Angela Dunning gets up.","לאחר שדואי מסיים, אנג'לה דאנינג קמה.",נעשה מתן
360,She's the codefendant's attorney.,היא עורכת הדין של הנאשם.,נאשמים עורך דין
361,PETA also sued the self-publishing book company that David had used.,PETA תבעה גם את חברת הספרים להוצאה עצמית שדיוויד השתמש בה.,תבע פרסום עצמי חברה משומש
362,"So Angela Dunning gets up to deliver her defense, which is also pretty straightforward.","אז אנג'לה דאנינג קמה כדי לספק את ההגנה שלה, שהיא גם די פשוטה.",למסור הגנה
363,Naruto can't benefit financially from his work.,נארוטו לא יכול להרוויח כלכלית מעבודתו.,להנות עבודה
364,He's a monkey.,הוא קוף.,קוף
365,David Slater wasn't in court in San Francisco that day.,דייוויד סלייטר לא היה בבית המשפט בסן פרנסיסקו באותו יום.,בית משפט סן פרנסיסקו יום
366,He didn't want to spend the money to travel all the way to California from Wales.,הוא לא רצה לבזבז את הכסף כדי לנסוע כל הדרך לקליפורניה מוויילס.,רוצה לבלות כסף לנסוע דרך קליפורניה ויילס
367,But he watched the whole hearing online.,אבל הוא צפה בכל הדיון באינטרנט.,צפה כל שמיעה
368,When I watched itand you see three judges there.,כשצפיתי בו ואתה רואה שם שלושה שופטים.,צפה לראות שופטים
369,"And then one attorney comes up, and then my attorney comes up, Andrew and then Angela, and they started talking about monkeys.","ואז עורך דין אחד בא, ואז עורך הדין שלי בא, אנדרו ואחר כך אנג'לה, והם התחילו לדבר על קופים.",עורך דין מגיע עורך דין מגיע התחיל לדבר קופים
370,It made it real all of a sudden.,זה הפך את זה למציאותי פתאום.,הפך אמיתי פתאומי
371,"That, yes, he was being sued by a monkey.","זה, כן, הוא נתבע על ידי קוף.",נתבע קוף
372,Naruto didn't make it to the hearing either.,גם נארוטו לא הגיע לשימוע.,לעשות שימוע
373,He stayed in the rainforest in Indonesia.,הוא שהה ביערות הגשם באינדונזיה.,נשאר יער גשם אינדונזיה
374,"And to my knowledge, nobody asked him what he thought of all this.","ולמיטב ידיעתי, אף אחד לא שאל אותו מה הוא חושב על כל זה.",ידיעה שאל חשב
375,"After two years, the humans managed to figure things out on their own.","לאחר שנתיים, בני האדם הצליחו להבין דברים בעצמם.",שנים בני אדם מנוהל דמות דברים בעצמם
376,They told the appellate court they didn't want it to rule in the case after all.,הם אמרו לערכאת הערעור שהם לא רוצים שהיא תכריע בתיק בכל זאת.,אמרו בית משפט לערעורים לא רצה כלל מקרה
377,"And in September, David and PETA announced they'd reached a settlement.","ובספטמבר, דייוויד ו-PETA הודיעו שהם הגיעו להסדר.",ספטמבר הודיעו הגיעו הסדר
378,The details of the settlement are confidential.,פרטי ההסדר חסויים.,פרטים הסדר סודי
379,So I can't tell you much about it.,אז אני לא יכול לספר לך הרבה על זה.,לספר הרבה הנה
380,But here's what I do know.,אבל הנה מה שאני כן יודע.,יודע
381,David Slater still has the monkey selfie copyright registered in his name in two countries.,לדיוויד סלייטר עדיין יש את זכויות היוצרים של הקוף לסלפי על שמו בשתי מדינות.,קוף סלפי זכות יוצרים רשום שם מדינות
382,And he agreed to donate 25% of the proceeds of the photos to protect the crested macaques.,והוא הסכים לתרום 25% מההכנסות של התמונות כדי להגן על מקוק המקוצים.,הסכים לתרום אחוז הכנסות תמונות להגן מקוקים
383,"About Wikipedia, they've still got the monkey selfie up there for anyone to download.","לגבי ויקיפדיה, עדיין יש להם את הסלפי של הקוף שם לכל אחד להוריד.",ויקיפדיה קוף סלפי להוריד
384,They still claim it's in the public domain.,הם עדיין טוענים שזה נחלת הכלל.,טוענים נחלת הכלל
385,"David will have to sue them to get it taken down, which he says he plans to do.","דיוויד יצטרך לתבוע אותם כדי להוריד את זה, מה שלדבריו הוא מתכנן לעשות.",לתבוע נלקח אומר תוכניות
386,There's just one other thing that should be mentioned about Naruto.,יש רק עוד דבר אחד שצריך להזכיר על נארוטו.,אחר דבר מוזכר
387,There were a bunch of monkeys around when the selfies were being taken that day.,היו חבורה של קופים בסביבה כשצילומי הסלפי צולמו באותו יום.,אוסף קופים סלפי צולם יום
388,And PETA consulted with the primatologist who works with those crested black macaques.,ו-PETA התייעצה עם הפרימטולוג שעובד עם אותם מקוק שחור מצויץ.,התייעצו פרימטולוג עובדת שחור מקוקים
389,She's the one who identified Naruto as the monkey in the famous selfie.,היא זו שזיהתה את נארוטו בתור הקוף בסלפי המפורסם.,זיהתה קוף מפורסם סלפי
390,But David says that's not right.,אבל דוד אומר שזה לא נכון.,אומר
391,Naruto is a male.,נארוטו הוא זכר.,זכר זכר
392,I distinctly remember it being a female.,אני זוכר בבירור שזו הייתה נקבה.,זוכר נקבה
393,I distinctly remember that pink rump which the female macaques have.,אני זוכרת בבירור את הגבעול הוורוד הזה שיש לנקבות המקוקים.,זוכר ורוד עכוז נקבה מקוקים
394,Basically what you're saying is is that Naruto is making a fraudulent claim himself.,בעצם מה שאתה אומר זה שנארוטו טוען בעצמו תביעת הונאה.,פתגם הכנה כזב טענה
395,Yes.,כֵּן.,
396,It's the wrong monkey in court.,זה הקוף הלא נכון בבית המשפט.,טעות קוף בית משפט
397,He's taking credit for an artistic work that was actually made by a female monkey.,הוא לוקח קרדיט על יצירה אמנותית שנעשתה למעשה על ידי קוף נקבה.,לקיחה אמנותי עבודה עשוי נקבה קוף
398,Yeah.,כֵּן.,
399,And I think the feminists amongst us should start to protest.,ואני חושב שהפמיניסטיות שבינינו צריכות להתחיל למחות.,לחשוב פמיניסטיות להתחיל למחות
400,I'm sure she's not the first lady monkey to have this kind of experience.,אני בטוח שהיא לא הקוף של הגברת הראשונה שחווה חוויה כזו.,בטוח גברת קוף חוויה
401,It's in the nature of both humans and monkeys to horse around in front of cameras.,זה בטבע של בני אדם וגם של קופים להסתובב מול מצלמות.,טבע בני אדם קופים להשתטות מול מצלמות
402,"But it's a uniquely human characteristic to spend hundreds of thousands of dollars, years of our lives, to go to court over it.","אבל זה מאפיין אנושי ייחודי להוציא מאות אלפי דולרים, שנים מחיינו, ללכת לבית המשפט על כך.",אנושי מאפין לבזבז מאות אלפים דולרים שנים חיים ללכת בית משפט
